Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
--,0.32,-3.27,-0.01,792,0,3194550.00,-9225.00,-1.20,772650.00,1.60,1.65,--,--,1.60,1.60,22850,44.10,NIFTY,2213.00,191.70,2017.90,2021.30,1966.10,2054.20,975.00,--,--,--,0,0.99,-3.27,0.32,--
--,0.34,-3.42,-0.01,954,0,3429300.00,-170250.00,-9.80,1573725.00,1.65,1.70,--,--,1.70,1.70,22900,43.40,NIFTY,2081.40,110.10,1967.90,1971.30,1916.50,2016.20,1650.00,--,--,--,0,0.99,-3.42,0.34,--
--,0.35,-3.49,-0.01,1361,0,2094600.00,-9075.00,-2.90,306150.00,1.75,1.80,--,--,1.75,1.75,22950,42.60,NIFTY,1756.55,-164.75,1917.90,1921.30,1881.30,1994.85,225.00,--,--,--,1,0.99,-3.49,0.35,--
--,0.37,-3.63,-0.01,114,0,11266875.00,-781800.00,-12.90,5287500.00,1.80,1.85,--,--,1.85,1.85,23000,41.80,NIFTY,1875.00,3.70,1867.90,1871.30,1867.65,1875.75,46350.00,-2.10,-975.00,1800.00,1,0.99,-3.63,0.37,--
--,0.40,-3.86,-0.01,1282,0,1542225.00,93600.00,48.00,288450.00,1.95,2.00,--,--,2.00,2.00,23050,41.20,NIFTY,1656.70,-164.60,1817.90,1821.30,1768.20,1870.00,225.00,--,--,--,1,0.99,-3.86,0.40,--
--,0.42,-3.91,-0.01,530,0,5088900.00,-36075.00,-2.90,1192275.00,2.05,2.10,--,--,2.05,2.05,23100,40.20,NIFTY,1854.60,83.30,1767.90,1771.30,1738.00,1825.80,2250.00,--,--,--,0,0.99,-3.91,0.42,--
--,0.45,-4.13,-0.01,1415,0,2335725.00,-29250.00,-6.40,424575.00,2.15,2.25,--,--,2.20,2.20,23150,39.50,NIFTY,1536.55,-184.75,1717.90,1721.30,1695.95,1773.80,300.00,--,--,--,1,0.99,-4.13,0.45,--
--,0.47,-4.26,-0.01,2798,0,7177800.00,-124050.00,-5.60,2098425.00,2.25,2.30,--,--,2.30,2.30,23200,38.70,NIFTY,1680.00,8.70,1667.90,1671.30,1658.10,1679.70,750.00,--,--,75.00,0,0.99,-4.26,0.47,--
--,0.50,-4.46,-0.01,1271,0,3777825.00,102000.00,21.70,572025.00,2.45,2.50,--,--,2.45,2.45,23250,38.00,NIFTY,1800.00,178.70,1617.90,1621.30,1568.45,1666.75,450.00,--,--,--,0,0.99,-4.46,0.50,--
--,0.54,-4.65,-0.01,788,0,8137050.00,-334725.00,-15.90,1772700.00,2.60,2.65,--,--,2.60,2.60,23300,37.20,NIFTY,1590.05,18.75,1567.90,1571.30,1540.40,1580.85,2250.00,--,--,75.00,0,0.99,-4.65,0.54,--
--,0.58,-4.91,-0.01,413,0,3777750.00,156300.00,36.10,588900.00,2.80,2.85,--,--,2.80,2.80,23350,36.50,NIFTY,1288.20,-233.10,1517.90,1521.30,1483.55,1580.45,1425.00,--,--,--,1,0.99,-4.91,0.58,--
--,0.62,-5.16,-0.01,1067,0,7833225.00,-60825.00,-3.00,2000625.00,2.95,3.00,--,--,3.00,3.00,23400,35.70,NIFTY,1554.50,83.20,1467.90,1471.30,1455.10,1510.95,1875.00,--,--,--,0,0.99,-5.16,0.62,--
0.00010,0.67,-5.46,-0.01,420,0,2569575.00,75675.00,19.10,472800.00,3.20,3.25,--,--,3.25,3.25,23450,35.00,NIFTY,1521.90,100.60,1417.90,1421.30,1398.00,1457.95,1125.00,--,--,--,0,0.99,-5.46,0.67,0.00010
0.00010,0.71,-5.62,-0.01,307,0,15811875.00,-2092425.00,-21.50,7645275.00,3.35,3.45,--,--,3.40,3.40,23500,34.10,NIFTY,1375.00,3.70,1367.90,1371.30,1370.15,1376.80,24900.00,-8.80,-2400.00,6450.00,1,0.99,-5.62,0.71,0.00010
0.00010,0.75,-5.84,-0.02,236,0,2306700.00,-33525.00,-5.00,638325.00,3.60,3.65,--,--,3.60,3.60,23550,33.30,NIFTY,1145.00,-176.30,1317.90,1321.30,1307.30,1356.25,2700.00,--,--,--,1,0.98,-5.84,0.75,0.00010
0.00010,0.80,-6.05,-0.02,329,0,7959900.00,-233475.00,-9.40,2244150.00,3.80,3.85,--,--,3.80,3.80,23600,32.40,NIFTY,1268.00,-3.30,1267.90,1271.30,1270.05,1279.95,6825.00,-4.20,-300.00,3300.00,1,0.98,-6.05,0.80,0.00010
0.00010,0.87,-6.38,-0.02,541,0,2729400.00,90150.00,14.10,729900.00,4.10,4.15,--,--,4.10,4.10,23650,31.70,NIFTY,1324.10,102.80,1217.90,1221.30,1198.95,1259.05,1350.00,--,--,--,0,0.98,-6.38,0.87,0.00010
0.00010,0.92,-6.57,-0.02,473,0,9005625.00,723300.00,35.40,2765025.00,4.30,4.35,--,--,4.30,4.30,23700,30.70,NIFTY,1171.00,-0.30,1167.90,1171.30,1172.05,1179.90,5850.00,--,--,525.00,1,0.98,-6.57,0.92,0.00010
0.00010,1.00,-6.98,-0.02,2808,0,4681875.00,615975.00,71.80,1474275.00,4.70,4.75,--,--,4.70,4.70,23750,30.00,NIFTY,1142.35,21.05,1117.90,1121.30,1119.15,1128.90,525.00,--,--,375.00,0,0.98,-6.98,1.00,0.00010
0.00010,1.06,-7.20,-0.02,158,0,11566050.00,-330075.00,-6.60,4670100.00,4.90,4.95,--,--,4.95,4.95,23800,29.10,NIFTY,1092.80,21.50,1067.90,1071.30,1071.15,1080.60,29625.00,-2.50,-750.00,5100.00,0,0.98,-7.20,1.06,0.00010
0.00010,1.16,-7.62,-0.03,641,0,4806900.00,96750.00,10.60,1009500.00,5.35,5.45,--,--,5.40,5.40,23850,28.30,NIFTY,1116.70,95.40,1017.90,1021.30,1013.60,1041.00,1575.00,--,--,--,0,0.97,-7.62,1.16,0.00010
0.00010,1.25,-7.97,-0.03,159,0,11667975.00,-171375.00,-4.90,3305400.00,5.70,5.80,--,--,5.80,5.80,23900,27.50,NIFTY,973.30,2.00,967.90,971.30,973.60,978.05,20850.00,-7.00,-1575.00,6225.00,1,0.97,-7.97,1.25,0.00010
0.00010,1.35,-8.39,-0.03,159,0,5452650.00,79425.00,7.80,1098525.00,6.20,6.30,--,--,6.30,6.30,23950,26.60,NIFTY,949.25,27.95,917.90,921.30,922.65,930.65,6900.00,1.10,75.00,2325.00,0,0.97,-8.39,1.35,0.00010
0.00020,1.46,-8.74,-0.03,40,0,25365600.00,-26700.00,-0.30,8783250.00,6.70,6.75,--,--,6.75,6.75,24000,25.70,NIFTY,877.00,5.70,867.90,871.30,875.25,878.95,222225.00,-6.00,-14175.00,182625.00,0,0.97,-8.74,1.46,0.00020
0.00020,1.58,-9.10,-0.04,295,0,5744175.00,86175.00,11.40,841875.00,7.15,7.25,--,--,7.25,7.25,24050,24.80,NIFTY,841.00,19.70,817.90,821.30,823.90,833.90,2850.00,-9.50,-300.00,2325.00,0,0.96,-9.10,1.58,0.00020
0.00020,1.70,-9.43,-0.04,57,0,16863450.00,-86925.00,-2.70,3172425.00,7.70,7.80,--,--,7.75,7.75,24100,23.80,NIFTY,783.00,11.70,767.90,771.30,775.40,780.85,55275.00,-3.70,-2100.00,12525.00,0,0.96,-9.43,1.70,0.00020
0.00020,1.87,-10.00,-0.05,87,0,9459525.00,-1725.00,-0.20,972900.00,8.50,8.55,--,--,8.55,8.55,24150,23.00,NIFTY,730.00,8.70,717.90,721.30,725.35,732.95,11175.00,-10.20,-1275.00,8475.00,0,0.95,-10.00,1.87,0.00020
0.00030,2.05,-10.54,-0.05,57,0,16174350.00,-117975.00,-3.50,3270900.00,9.35,9.40,--,--,9.40,9.40,24200,22.10,NIFTY,694.45,23.15,667.90,671.30,676.25,682.45,56925.00,-35.40,-31200.00,70950.00,0,0.95,-10.54,2.05,0.00030
0.00030,2.25,-11.10,-0.06,85,0,7706700.00,-25275.00,-2.20,1134150.00,10.35,10.40,--,--,10.35,10.35,24250,21.20,NIFTY,635.20,13.90,617.90,621.30,625.40,633.40,13350.00,-6.80,-975.00,6450.00,0,0.94,-11.10,2.25,0.00030
0.00030,2.49,-11.82,-0.07,52,0,19440450.00,559050.00,16.70,3908475.00,11.55,11.60,--,--,11.60,11.60,24300,20.40,NIFTY,583.00,11.70,567.90,571.30,580.55,584.00,75300.00,4.50,3225.00,64800.00,0,0.93,-11.82,2.49,0.00030
0.00040,2.77,-12.60,-0.08,48,0,8059125.00,64875.00,5.20,1308600.00,13.05,13.10,--,--,13.10,13.10,24350,19.50,NIFTY,541.20,19.90,517.90,521.30,532.85,536.35,27300.00,3.70,975.00,18225.00,0,0.92,-12.60,2.77,0.00040
0.00050,3.11,-13.57,-0.09,31,0,23001300.00,148875.00,4.40,3564975.00,15.05,15.10,--,--,15.10,15.10,24400,18.70,NIFTY,484.50,13.20,467.90,471.30,484.75,486.45,115050.00,-8.30,-10425.00,245325.00,0,0.91,-13.57,3.11,0.00050
0.00050,3.49,-14.54,-0.11,29,0,10991550.00,157350.00,11.80,1494675.00,17.30,17.40,--,--,17.40,17.40,24450,17.90,NIFTY,441.40,20.10,417.90,421.30,436.35,438.70,51825.00,-2.50,-1350.00,72450.00,0,0.89,-14.54,3.49,0.00050
0.00060,3.94,-15.78,-0.13,14,0,41025375.00,689325.00,10.20,7444650.00,20.50,20.55,--,--,20.60,20.60,24500,17.20,NIFTY,390.65,19.35,367.90,371.30,390.65,391.75,514425.00,-8.90,-50175.00,2128500.00,0,0.87,-15.78,3.94,0.00060
0.00070,4.44,-16.98,-0.15,14,0,14189625.00,211575.00,12.60,1889700.00,24.30,24.40,--,--,24.40,24.40,24550,16.40,NIFTY,344.55,23.25,317.90,321.30,344.55,345.35,134250.00,-3.60,-4950.00,280425.00,0,0.85,-16.98,4.44,0.00070
0.00090,5.01,-18.33,-0.18,7,0,35995950.00,1363425.00,24.50,6919125.00,29.35,29.45,--,--,29.45,29.45,24600,15.70,NIFTY,300.10,28.80,267.90,271.30,299.85,300.45,1015875.00,-3.50,-36600.00,2987025.00,0,0.82,-18.33,5.01,0.00090
0.00100,5.63,-19.83,-0.22,6,0,21380250.00,480825.00,18.50,3081750.00,36.25,36.35,--,--,36.35,36.35,24650,15.10,NIFTY,256.10,34.80,217.90,221.30,256.65,257.25,541050.00,1.60,8625.00,1254300.00,0,0.78,-19.83,5.63,0.00100
